sdpGtkEventAdjustmentChanged	changed	void	GtkAdjustment*	Adjustment
sdpGtkEventAdjustmentValueChanged	value-changed	void	GtkAdjustment*	Adjustment
sdpGtkEventButtonClicked	clicked	void	GtkButton*	Button
sdpGtkEventButtonEnter	enter	void	GtkButton*	Button
sdpGtkEventButtonLeave	leave	void	GtkButton*	Button
sdpGtkEventButtonPressed	pressed	void	GtkButton*	Button
sdpGtkEventButtonReleased	released	void	GtkButton*	Button
sdpGtkEventCalendarDaySelected	day-selected	void	GtkCalendar*	Calendar
sdpGtkEventCalendarDaySelectedDoubleClick	day-selected-gdouble-click	void	GtkCalendar*	Calendar
sdpGtkEventCalendarMonthChanged	month-changed	void	GtkCalendar*	Calendar
sdpGtkEventCalendarNextMonth	next-month	void	GtkCalendar*	Calendar
sdpGtkEventCalendarNextYear	next-year	void	GtkCalendar*	Calendar
sdpGtkEventCalendarPrevMonth	prev-month	void	GtkCalendar*	Calendar
sdpGtkEventCalendarPrevYear	prev-year	void	GtkCalendar*	Calendar
sdpGtkEventCheckMenuItemToggled	toggled	void	GtkCheckMenuItem*	MenuItem
sdpGtkEventCListAbortColumnResize	abort-column-resize	void	GtkCList*	List
sdpGtkEventCListClickColumn	click-column	void	GtkCList*	List	gint	Column				
sdpGtkEventCListEndSelection	end-selection	void	GtkCList*	List						
sdpGtkEventCListExtendSelection	extend-selection	void	GtkCList*	List	GtkScrollType	ScrollType	gfloat	Position	gboolean	AutoStartSelection
sdpGtkEventCListResizeColumn	resize-column	void	GtkCList*	List	gint	Column	gint	Width		
sdpGtkEventCListRowMove	row-move	void	GtkCList*	List	gint	SourceRow	gint	DestinationRow		
sdpGtkEventCListScrollHorizontal	scroll-horizontal	void	GtkCList*	List	GtkScrollType	ScrollType	gfloat	Position		
sdpGtkEventCListScrollVertical	scroll-vertical	void	GtkCList*	List	GtkScrollType	ScrollType	gfloat	Position		
sdpGtkEventCListSelectAll	select-all	void	GtkCList*	List						
sdpGtkEventCListSelectRow	select-row	void	GtkCList*	List	gint	Row	gint	Column	GdkEvent*	Event
sdpGtkEventCListStartSelection	start-selection	void	GtkCList*	List						
sdpGtkEventCListToggleAddMode	toggle-add-mode	void	GtkCList*	List						
sdpGtkEventCListToggleFocusRow	toggle-focus-row	void	GtkCList*	List						
sdpGtkEventCListUndoSelection	undo-selection	void	GtkCList*	List						
